X,Y,Z,Weight
.3333333333333333333333333333333333, .3333333333333333333333333333333333, .3333333333333333333333333333333333, .1443156076777871682510911104890646
.1705693077517602066222935014914645, .1705693077517602066222935014914645, 0.6588613844964796, .1032173705347182502817915502921290
0.6588613844964796, .1705693077517602066222935014914645, .1705693077517602066222935014914645, .1032173705347182502817915502921290
.1705693077517602066222935014914645, 0.6588613844964796, .1705693077517602066222935014914645, .1032173705347182502817915502921290
.0505472283170309754584235505965989, .0505472283170309754584235505965989, 0.8989055433659381, .0324584976231980803109259283417806
0.8989055433659381, .0505472283170309754584235505965989, .0505472283170309754584235505965989, .0324584976231980803109259283417806
.0505472283170309754584235505965989, 0.8989055433659381, .0505472283170309754584235505965989, .0324584976231980803109259283417806
.4592925882927231560288155144941693, .4592925882927231560288155144941693, 0.08141482341455364, .0950916342672846247938961043885843
0.08141482341455364, .4592925882927231560288155144941693, .4592925882927231560288155144941693, .0950916342672846247938961043885843
.4592925882927231560288155144941693, 0.08141482341455364, .4592925882927231560288155144941693, .0950916342672846247938961043885843
.2631128296346381134217857862846436,.0083947774099576053372138345392944,0.7284923929554042,.0272303141744349942648446900739089
.0083947774099576053372138345392944,.2631128296346381134217857862846436,0.7284923929554042,.0272303141744349942648446900739089
0.7284923929554042,.2631128296346381134217857862846436,.0083947774099576053372138345392944,.0272303141744349942648446900739089
0.7284923929554042,.0083947774099576053372138345392944,.2631128296346381134217857862846436,.0272303141744349942648446900739089
.2631128296346381134217857862846436,0.7284923929554042,.0083947774099576053372138345392944,.0272303141744349942648446900739089
.0083947774099576053372138345392944,0.7284923929554042,.2631128296346381134217857862846436,.0272303141744349942648446900739089
